id;nom_complet;contacts_gestionnaires;emploi
1;Corporate virtual;Cedi;dedicated XSS Venezuela
2;Cambridgeshire purple;Rial Omani Cambridgeshire;panel
3;microchip Credit Card Account sexy;Armenia Metal;bypass SCSI
4;Idaho platforms;South Carolina system;Seychelles Direct
5;Rubber;Czech Koruna Sports;Money Market Account
6;generate Buckinghamshire magenta;lime Pants;payment
7;Quality indexing;deposit channels Coordinator;Granite Mandatory
8;multi-byte recontextualize revolutionize;Tunnel reciprocal New Hampshire;multi-byte Wooden
9;matrices payment;didactic integrate;SMS Refined Sleek
10;CSS;Rwanda Franc extend Fantastic;Savings Account Tasty
